iter	MultiClass
0	0.9602584121
1	0.8585992887
2	0.7819999244
3	0.7120757646
4	0.650642781
5	0.6038369668
6	0.5472915255
7	0.5032535873
8	0.4672796592
9	0.4235751454
10	0.3914412568
11	0.3653029523
12	0.3429003627
13	0.3258166804
14	0.3022130124
15	0.2895074997
16	0.2753011543
17	0.2642880966
18	0.2496020581
19	0.236352465
20	0.230204308
21	0.2240896892
22	0.2145165825
23	0.2056235112
24	0.198132981
25	0.1914618173
26	0.1853139903
27	0.1800903344
28	0.1723904009
29	0.1664898477
30	0.1614766007
31	0.1568150927
32	0.1504840371
33	0.145607789
34	0.140758405
35	0.1343302197
36	0.1279654129
37	0.1235808346
38	0.1194532949
39	0.1127122715
40	0.109754081
41	0.1053691248
42	0.10081807
43	0.09762665923
44	0.09320208709
45	0.09091163113
46	0.08776587155
47	0.08571354254
48	0.08182865187
49	0.07907336952
50	0.07844931058
51	0.07477939083
52	0.07414094804
53	0.07118642905
54	0.06967165403
55	0.06768314859
56	0.06637351363
57	0.06572459188
58	0.06342039549
59	0.06211612609
60	0.0605450423
61	0.05996962063
62	0.05765402679
63	0.05636059173
64	0.05604232036
65	0.05509771923
66	0.05363095888
67	0.05336559393
68	0.05204636002
69	0.05052179477
70	0.04921799066
71	0.04897191743
72	0.04773386732
73	0.04715092262
74	0.04692059855
75	0.04604952134
76	0.04536992299
77	0.04484944033
78	0.04421378103
79	0.0431419775
80	0.04224019984
81	0.04182928157
82	0.04076289163
83	0.04008369495
84	0.03944566787
85	0.03919605858
86	0.03871354061
87	0.0376879875
88	0.03725475719
89	0.03709146894
90	0.03651006736
91	0.03577255562
92	0.03526498438
93	0.03482067715
94	0.03465768685
95	0.0341272344
96	0.03400476966
97	0.03385134902
98	0.03366393263
99	0.03356789397
100	0.03314805183
101	0.03297663532
102	0.03250491572
103	0.03148117735
104	0.03102662707
105	0.03057354477
106	0.0303931861
107	0.03030570544
108	0.03013982243
109	0.02964745932
110	0.02941274107
111	0.0291963766
112	0.02884435781
113	0.02805125987
114	0.02731948854
115	0.02715214852
116	0.02683512089
117	0.02655424264
118	0.02623777628
119	0.02596633902
120	0.02574319652
121	0.02529464448
122	0.02502318815
123	0.02481226499
124	0.02470937075
125	0.02421735758
126	0.02413132398
127	0.02380560318
128	0.02373196263
129	0.02364762541
130	0.02335709237
131	0.02310813775
132	0.02277036543
133	0.02272833814
134	0.02269382408
135	0.02264164695
136	0.02249873108
137	0.02220838509
138	0.02195587019
139	0.02186683242
140	0.02169521418
141	0.02150589794
142	0.02144273615
143	0.02123086257
144	0.02089289635
145	0.02074564974
146	0.02051169158
147	0.02032288811
148	0.0201629227
149	0.02009247691
150	0.01984839155
151	0.01976141944
152	0.01965993029
153	0.01960685477
154	0.01942698089
155	0.01924640565
156	0.01922482227
157	0.01918177174
158	0.01909887228
159	0.01878994448
160	0.01862574781
161	0.01835560994
162	0.01823863495
163	0.01813510998
164	0.01806905769
165	0.01789953623
166	0.01771444064
167	0.01753226648
168	0.01736040703
169	0.01724322659
170	0.0169266799
171	0.01678139007
172	0.01668206629
173	0.01665982641
174	0.01659627977
175	0.01655981852
176	0.01643213048
177	0.01636767707
178	0.01632797616
179	0.0161734921
180	0.01608348331
181	0.01592381161
182	0.01577643873
183	0.01567390486
184	0.01548713945
185	0.01516939676
186	0.01511484374
187	0.01506806368
188	0.01498068275
189	0.01477607153
190	0.01466446886
191	0.0145698928
192	0.01452367291
193	0.0141995393
194	0.01412257361
195	0.01400390554
196	0.01390380152
197	0.01386422264
198	0.01382199635
199	0.01366275019
200	0.01345600954
201	0.01339296815
202	0.01336704411
203	0.01333694347
204	0.01322095412
205	0.01320176099
206	0.01318101289
207	0.01315355115
208	0.01302503859
209	0.01296791971
210	0.01289188884
211	0.01274316037
212	0.01271347999
213	0.01269540037
214	0.01262116616
215	0.01249723693
216	0.01233887294
217	0.0122006865
218	0.01217320178
219	0.01208945434
220	0.01206591123
221	0.01199829267
222	0.0119590962
223	0.01193099858
224	0.01185090687
225	0.01172691833
226	0.01170414137
227	0.01163025626
228	0.01161719719
229	0.01157951924
230	0.0115653673
231	0.01148694564
232	0.01140984019
233	0.01139679479
234	0.01135351848
235	0.01130048451
236	0.01127591759
237	0.01123491674
238	0.01109346872
239	0.01104065038
240	0.01097707056
241	0.01086707316
242	0.01076114896
243	0.01060096447
244	0.01050481057
245	0.01048479562
246	0.01047093509
247	0.01038101921
248	0.01022627811
249	0.01015123458
250	0.01010176047
251	0.01001709808
252	0.009975950107
253	0.009940021139
254	0.009923835466
255	0.009852213603
256	0.009842406995
257	0.00981257121
258	0.009789741391
259	0.009675604002
260	0.009589061328
261	0.009561973843
262	0.009549416702
263	0.009512589918
264	0.009462860303
265	0.009396404585
266	0.009294770863
267	0.009281032942
268	0.009229075401
269	0.009212860904
270	0.009182778609
271	0.0091489224
272	0.009136555197
273	0.009127483787
274	0.009049213272
275	0.00894664106
276	0.0089206201
277	0.008845453308
278	0.008777012272
279	0.008745990032
280	0.008645641575
281	0.008584683267
282	0.008543154404
283	0.008530464368
284	0.008518490856
285	0.008463524776
286	0.008443009053
287	0.008429096203
288	0.008376981549
289	0.008356066441
290	0.008295687886
291	0.008277281082
292	0.008217133806
293	0.008209911878
294	0.008154984019
295	0.008097585446
296	0.008056844225
297	0.00801681512
298	0.007990129773
299	0.007976852971
300	0.007935149086
301	0.007890628135
302	0.007841305907
303	0.007820132873
304	0.007814517514
305	0.007796588247
306	0.007778620214
307	0.007749121666
308	0.007738888929
309	0.007731298864
310	0.007696248299
311	0.007662685031
312	0.007594210851
313	0.00756371215
314	0.007506806744
315	0.007481004807
316	0.00747498993
317	0.0074412426
318	0.007433274087
319	0.007349703984
320	0.007326244993
321	0.007285088696
322	0.007253695424
323	0.00724473862
324	0.007232985331
325	0.007227456426
326	0.007213757315
327	0.007178832575
328	0.007165083534
329	0.007153029083
330	0.007131265665
331	0.007108397695
332	0.007100211366
333	0.007071800636
334	0.00705929142
335	0.0070258785
336	0.007008741845
337	0.006998210335
338	0.006964307415
339	0.006946115252
340	0.006924511406
341	0.0068996745
342	0.006863062156
343	0.00685415015
344	0.006803929989
345	0.006790909296
346	0.006778784514
347	0.006750238001
348	0.006737757791
349	0.006662723051
350	0.006652703991
351	0.006627671978
352	0.006622757738
353	0.006604037727
354	0.006596260469
355	0.006579010252
356	0.006564252767
357	0.006547323561
358	0.006522230069
359	0.00651048303
360	0.006467689402
361	0.006436226319
362	0.006429765907
363	0.006420236251
364	0.006412129115
365	0.006386732455
366	0.006374744661
367	0.006341725491
368	0.006316117116
369	0.006294649699
370	0.00624986897
371	0.006231363777
372	0.006201162269
373	0.006189820429
374	0.006153274956
375	0.006139145183
376	0.006129160098
377	0.006069976743
378	0.006055529003
379	0.006037393479
380	0.006021842945
381	0.006017306027
382	0.006006337413
383	0.005982782642
384	0.005968743994
385	0.005951881131
386	0.005945193265
387	0.005913989775
388	0.005907617971
389	0.005863170331
390	0.005845982477
391	0.005816482243
392	0.005802286439
393	0.005761310061
394	0.005740047373
395	0.005729934655
396	0.005716002078
397	0.005705792943
398	0.005674455367
399	0.005662719627
